"Word","Length","Log_Freq_HAL","predicted_gaze_duration_default"
"aerate",6,4.883,262.056978658853
"aerated",7,4.174,271.591258019222
"aerates",7,2.996,279.859582333773
"aeration",8,5.318,268.502543713347
"aerator",7,4.06,272.380625001329
"aerial",6,7.952,242.361567918417
"aerials",7,4.143,271.805683710543
"aerobatic",9,5.22,273.976317586645
"aerobic",7,7.226,251.288010970688
"aerodynamic",11,6.221,276.699132731742
"aeronaut",8,0,307.429925334142
"aeronautical",12,6.323,280.906083825921
"aeronautics",11,6.568,274.26553742328
"aeroplane",9,5.384,272.834810743342
"aerosol",7,6.043,258.971185850895
"aerosolized",11,3.584,295.912577959661
"aerosols",8,5.613,266.493596242869
"aerospace",9,8.177,254.108598326488
"Aeschylus",9,4.382,279.884118452051
"aesthetic",9,7.362,259.436033583894
"aesthetics",10,6.861,267.454943604746
"afar",4,6.1,245.232454009962
"affable",7,4.394,270.074379543438
"affair",6,8.574,238.553996130241
"affairs",7,9.427,237.594681670991
"affect",6,9.836,231.011482245679
"affectation",11,4.625,288.173308259061
"affected",8,9.421,241.871194587651
"affecting",9,8.256,253.598048947529
"affectingly",11,0,324.182396412142
"affection",9,7.555,258.164437867288
"affectionate",12,7.066,275.642555696071
"affectionately",14,5.553,296.78143931009
"affections",10,5.771,274.980606017226
"affects",7,8.705,242.00225276996
"afferent",8,4.344,275.243645571673
"affianced",9,2.833,291.141798976298
"affidavit",9,6.611,264.443943005465
"affidavits",10,5.903,274.058088898623
"affiliate",9,7.81,256.493902678061
"affiliated",10,8.42,257.04772280738
"affiliates",10,7.492,263.192836787856
"affiliation",11,8.012,264.366153954034
"affiliations",12,6.954,276.429622412856
"affinities",10,4.5,284.023778888868
"affinity",8,7.134,256.371680601692
"affirm",6,6.509,251.430572557829
"affirmation",11,6.766,272.886518379086
"affirmations",12,6.122,282.347192706082
"affirmative",11,8.747,259.465384550694
"affirmatively",13,4.787,297.320472327319
"affirmed",8,6.78,258.692598147208
"affirming",9,5.826,269.781937034949
"affirms",7,5.823,260.42570300402
"affix",5,5.187,255.477995025565
"affixed",7,5.638,261.655141031235
"afflict",7,4.787,267.385736624228
"afflicted",9,6.594,264.558416378929
"affliction",10,5.971,273.584061298599
"afflictions",11,5.017,285.311750423659
"affluence",9,5.236,273.864741143594
